timestamp,event_id,level,source,message,hostname,cpu_usage,memory_usage,is_anomaly,anomaly_score
2025-04-21 16:26:59,9999,ERROR,Service Control Manager,Anomalous system activity detected: Unexpected service failure due to unauthorized access attempt.,DESKTOP-E72J0P3,2.6,48.2,True,0.9999730587005615
2025-04-21 16:41:44,9999,ERROR,Service Control Manager,Anomalous system activity detected: Unexpected service failure due to unauthorized access attempt.,DESKTOP-E72J0P3,0.7,48.3,True,0.9999730587005615
2025-04-21 17:12:49,0,INFO,edgeupdate,Service stopped.,DESKTOP-E72J0P3,2.0,50.6,True,0.9940657615661621
